metric,n,OOBmse,OOBr2
Zero_Flow_Days_sum,10,3331.242973493261,0.6345257118131409
Zero_Flow_Days_sum,12,3293.5529419628538,0.6386607261471062
Zero_Flow_Days_sum,14,3615.693694546449,0.6069471117612759
Zero_Flow_Days_sum,16,3660.3229141006223,0.6020955825313342
Zero_Flow_Days_sum,18,3587.129244189993,0.6100522806892996
Zero_Flow_Days_sum,20,3582.074253439137,0.6106017959089214
Zero_Flow_Days_sum,22,3511.1006223493646,0.6183171592790822
Zero_Flow_Days_sum,24,3557.804869563068,0.613240059056779
Zero_Flow_Days_sum,26,3500.2093212404943,0.6195011249905515
Zero_Flow_Days_sum,28,3492.9481463847146,0.6202904688869594
Zero_Flow_Days_sum,30,3448.1057701330587,0.6251651698406893
Zero_Flow_Days_sum,32,3443.213478917409,0.6256969984066203
Zero_Flow_Days_sum,34,3486.126419018944,0.6210320415616407
Zero_Flow_Days_sum,36,3503.2486362109935,0.6191707287710864
Zero_Flow_Days_sum,38,3554.9513515963145,0.6135502577553484
Zero_Flow_Days_sum,40,3591.7248560021444,0.6095527033886243
Zero_Flow_Days_sum,42,3594.5070543007623,0.6092502576702346
Zero_Flow_Days_sum,44,3566.9093660992758,0.612250332337142
Zero_Flow_Days_sum,46,3552.232239685636,0.6138458455125604
Zero_Flow_Days_sum,48,3589.7132111652213,0.6097713841951472
Zero_Flow_Days_sum,50,3559.6513361497023,0.613039334358775
hydro_doy,10,8313.720180828172,0.04025764297197443
hydro_doy,12,8143.000419278284,0.059965665707571114
hydro_doy,14,8117.212113452347,0.06294268789244328
hydro_doy,16,7897.11667913167,0.08835067689274079
hydro_doy,18,7806.890254555243,0.09876648588146308
hydro_doy,20,7794.834358150093,0.1001582279873191
hydro_doy,22,7741.778917766763,0.10628298950191528
hydro_doy,24,7743.910042919074,0.1060369707482991
hydro_doy,26,7776.994373796933,0.10221768972767553
hydro_doy,28,7725.633747453037,0.10814680058461756
hydro_doy,30,7729.623295005079,0.10768624409633198
hydro_doy,32,7749.4620990741105,0.10539603704537337
hydro_doy,34,7675.488526298242,0.11393560411637194
hydro_doy,36,7680.865140072228,0.11331492361906881
hydro_doy,38,7629.816147488225,0.1192080592311453
hydro_doy,40,7667.842594982184,0.1148182564047987
hydro_doy,42,7643.969744286349,0.11757415695202111
hydro_doy,44,7588.607631226759,0.12396520256363452
hydro_doy,46,7591.150299581148,0.12367167494104148
hydro_doy,48,7628.464007466486,0.11936415133230704
hydro_doy,50,7611.928272651981,0.1212730494863079
mean_dry_down_days,10,870.1599811198616,0.3152402558114691
mean_dry_down_days,12,830.3362164113589,0.3465789883734096
mean_dry_down_days,14,826.8486533761043,0.34932347539151964
mean_dry_down_days,16,783.0231223688028,0.3838113397528118
mean_dry_down_days,18,776.9438416936696,0.3885953412815847
mean_dry_down_days,20,780.7466505331311,0.3856027761618279
mean_dry_down_days,22,785.5087054582888,0.3818553462832829
mean_dry_down_days,24,766.6146287407724,0.39672376521828656
mean_dry_down_days,26,672.7101903951165,0.4706204975145535
mean_dry_down_days,28,677.2752338379448,0.46702810295729325
mean_dry_down_days,30,667.7664008926133,0.47451094077614686
mean_dry_down_days,32,671.7967627573705,0.47133930611197106
mean_dry_down_days,34,678.8062154786647,0.4658233192170579
mean_dry_down_days,36,671.6829013910274,0.47142890765856216
mean_dry_down_days,38,671.787008727175,0.47134698190420043
mean_dry_down_days,40,677.1911002883968,0.46709431063072815
mean_dry_down_days,42,670.9701816221078,0.47198977211709015
mean_dry_down_days,44,674.4682576264205,0.4688597652912784
mean_dry_down_days,46,671.824464375698,0.47094173868562583
mean_dry_down_days,48,666.7385872825187,0.47494684036747137
mean_dry_down_days,50,665.622785559187,0.47582552840433223
