metric,mk_tau,mk_p,sen_slope,lin_slope,lin_r2,lin_p,pois_slope,pois_r2,pois_p,mw_p,mw_meanGroup1,mw_meanGroup2,mw_medianGroup1,mw_medianGroup2,n_yrGroup1,n_yrGroup2,gage_ID
annualnoflowdays,0.098150782,0.37311167,0,0.393478499,0.026255777,0.331082812,0.020351342,0.026255777,2.10E-09,0.457067068,15.78947368,23.26315789,6,7,19,19,1109070
zeroflowfirst,-0.025974026,0.887745041,-0.041666667,-0.100138295,0.002446668,0.826964405,-7.71E-04,0.002446668,0.636332447,0.973676993,128.9,130.4166667,123.5,128,10,10,1109070
peak2z_length,-0.415584416,0.007209571,-0.7,-0.667824365,0.360108954,0.003152482,NA,NA,NA,0.015856881,38.6,24.79166667,33.5,22.5,10,10,1109070
p_mm_cy,0.129445235,0.257856722,3.423076923,3.015428384,0.031669394,0.285102073,NA,NA,NA,0.401554317,1225,1274.157895,1214,1303,19,19,1109070
p_mm_amj,0.052631579,0.650724757,0.583333333,0.582667688,0.004341312,0.694301471,NA,NA,NA,0.320762077,300.9473684,319.7368421,269,320,19,19,1109070
p_mm_jas,0.004267425,0.979937086,0.033333333,0.360870992,0.002137854,0.782817121,NA,NA,NA,0.849476338,289.4210526,299.2105263,277,266,19,19,1109070
p_mm_ond,0.082503556,0.47342365,0.909090909,0.76365029,0.009147706,0.567861456,NA,NA,NA,0.589003807,324.7368421,336.1578947,305,319,19,19,1109070
p_mm_jfm,0.06401138,0.580151246,0.928571429,1.308239414,0.020406493,0.392231011,NA,NA,NA,0.862580177,309.8947368,319.0526316,283,312,19,19,1109070
pet_mm_cy,0.311522048,0.006123228,2,1.851077798,0.178668449,0.008197945,NA,NA,NA,0.01537475,1048.315789,1082.684211,1058,1100,19,19,1109070
pet_mm_amj,0.260312945,0.021999269,0.75,0.563190721,0.08588184,0.074163025,NA,NA,NA,0.128689265,365.2631579,372.4736842,359,377,19,19,1109070
pet_mm_jas,0.308677098,0.006599808,1.263157895,1.185140606,0.226094998,0.002552598,NA,NA,NA,0.014171145,377.6315789,401.8947368,370,402,19,19,1109070
pet_mm_ond,0.019914651,0.87000973,0,-1.92E-15,2.99E-29,1,NA,NA,NA,0.640105701,156.3684211,157.1052632,156,157,19,19,1109070
pet_mm_jfm,0.06401138,0.579551348,0.136363636,0.102746471,0.005522965,0.657455307,NA,NA,NA,0.558817374,149.0526316,151.2105263,150,152,19,19,1109070
T_max_c_cy,0.20341394,0.074227183,0.021416997,0.022843089,0.112499123,0.039533644,NA,NA,NA,0.324859207,15.59100326,15.93915405,15.60712329,15.93643836,19,19,1109070
T_max_c_amj,0.177809388,0.119016217,0.015891801,0.014357139,0.034743099,0.262506154,NA,NA,NA,0.137774772,19.96136495,20.19971082,19.8956044,20.25714286,19,19,1109070
T_max_c_jas,0.26173542,0.021400654,0.03423913,0.031039334,0.136849025,0.022254199,NA,NA,NA,0.063743755,25.99107552,26.56962242,25.90217391,26.61413043,19,19,1109070
T_max_c_ond,0.214793741,0.059323837,0.039690382,0.039641979,0.117171301,0.035411118,NA,NA,NA,0.108953852,10.88272311,11.54742563,10.67826087,11.34347826,19,19,1109070
T_max_c_jfm,0.058321479,0.615051322,0.010689655,0.005874077,0.001812678,0.799649221,NA,NA,NA,0.862580177,5.379090033,5.283081422,5.316483516,5.635555556,19,19,1109070
T_min_c_cy,0.317211949,0.00525515,0.035814586,0.032913741,0.227684939,0.002452679,NA,NA,NA,0.029561459,4.662224836,5.224687713,4.479178082,5.280273973,19,19,1109070
T_min_c_amj,0.318634424,0.005051106,0.029020979,0.029869813,0.209066959,0.003900951,NA,NA,NA,0.033061706,8.29664546,8.832562175,8.36043956,8.724175824,19,19,1109070
T_min_c_jas,0.33428165,0.003262835,0.034079284,0.035826272,0.273639731,7.52E-04,NA,NA,NA,0.00991377,14.6229405,15.2979405,14.68152174,15.14021739,19,19,1109070
T_min_c_ond,0.283072546,0.012801754,0.042717391,0.049158527,0.194923289,0.005522852,NA,NA,NA,0.015409464,0.429748284,1.395251716,0.177173913,1.111956522,19,19,1109070
T_min_c_jfm,0.100995733,0.378841252,0.025618132,0.016444909,0.011627289,0.519324784,NA,NA,NA,0.750923477,-4.844637234,-4.778092025,-4.941758242,-4.107692308,19,19,1109070
pcumdist10days,0.014224751,0.909812121,0,0.014224751,1.11E-04,0.949982773,3.86E-04,1.11E-04,0.87412655,0.837938453,36.52631579,37.15789474,35,36,19,19,1109070
pcumdist50days,0.049786629,0.668907717,0.181818182,0.103731262,0.001648411,0.808766106,5.52E-04,0.001648411,0.609118824,0.803951155,189.5789474,186.5263158,186,196,19,19,1109070
pcumdist90days,0.091038407,0.427916941,0.189189189,0.133056133,0.006903253,0.619947303,4.05E-04,0.006903253,0.619787796,0.405071997,327.5263158,329.7368421,329,336,19,19,1109070
swe_mm_cy,0.01951952,0.875234024,0.106060606,0.315789474,0.00705985,0.621005832,NA,NA,NA,0.70398378,55.16666667,62.15789474,45.5,58,18,18,1109070
swe_mm_amj,-0.046031746,0.656207494,0,-0.019176319,1.50E-04,0.943442902,NA,NA,NA,0.376503723,10.70588235,5.526315789,0,0,17,17,1109070
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1109070
swe_mm_ond,0.071428571,0.548427728,0.153846154,0.117117117,0.005464345,0.668315208,NA,NA,NA,0.375220441,17.33333333,22,13,19.5,18,18,1109070
swe_mm_jfm,0.042857143,0.723157647,0.207142857,0.457271557,0.013340942,0.502341073,NA,NA,NA,0.486313852,51.44444444,61.5,37,55,18,18,1109070
srad_wm2_cy,0.450924609,7.11E-05,0.313988838,0.292604565,0.462041248,2.69E-06,NA,NA,NA,9.13E-05,167.96153,174.0308217,167.6739726,175.6410959,19,19,1109070
srad_wm2_amj,0.317211949,0.00525515,0.492063489,0.435256941,0.180895543,0.007768153,NA,NA,NA,0.023329804,231.6697513,238.9323308,230.5934066,241.5934066,19,19,1109070
srad_wm2_jas,0.455192034,6.05E-05,0.5044757,0.50596821,0.437385459,6.17E-06,NA,NA,NA,4.94E-05,220.4170481,231.4856979,219.5326087,231.2173913,19,19,1109070
srad_wm2_ond,0.129445235,0.257856722,0.079710144,0.05815259,0.023352047,0.359701005,NA,NA,NA,0.369685928,102.4696796,103.6813501,101.9456522,104.5543478,19,19,1109070
srad_wm2_jfm,0.209103841,0.066431921,0.187037037,0.170589689,0.118160885,0.034594642,NA,NA,NA,0.00991377,116.9903669,121.7406336,115.9120879,121.5222222,19,19,1109070
p.pet_cy,-0.004267425,0.979940256,-3.10E-04,9.40E-04,0.002736775,0.755095753,NA,NA,NA,0.976988121,1.170568701,1.18421693,1.166831194,1.201649863,19,19,1109070
swe.p_cy,0.024024024,0.844466763,8.18E-05,2.99E-04,0.008836567,0.579989304,NA,NA,NA,0.752564637,0.044964049,0.050407583,0.034995362,0.053846154,18,18,1109070
p.pet_jfm,0.078236131,0.497212088,0.00797235,0.008452766,0.015209911,0.460712133,NA,NA,NA,0.885313346,2.10418864,2.165590955,1.964788732,2.198675497,19,19,1109070
swe.p_jfm,0.063492063,0.595269889,0.001101404,0.001798639,0.01991765,0.411637019,NA,NA,NA,0.307873329,0.162266263,0.20775584,0.109082368,0.186265387,18,18,1109070
p.pet_amj,0.015647226,0.899954324,6.83E-04,1.43E-04,2.89E-05,0.97446152,NA,NA,NA,0.50630654,0.833200888,0.869082822,0.749303621,0.862533693,19,19,1109070
swe.p_amj,-0.033333333,0.750509131,0,2.93E-04,0.002465067,0.773683051,NA,NA,NA,0.417560806,0.036481526,0.021368243,0,0,17,17,1109070
p.pet_jas,-0.06401138,0.580151246,-0.001595971,-0.001192971,0.002855544,0.750004534,NA,NA,NA,0.729113675,0.774028209,0.755103507,0.752747253,0.654589372,19,19,1109070
swe.p_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1109070
p.pet_ond,0.089615932,0.435709913,0.006528965,0.005153654,0.008667309,0.57825484,NA,NA,NA,0.623543823,2.0971092,2.161787057,1.894409938,2.058064516,19,19,1109070
swe.p_ond,0.066666667,0.576532592,3.07E-04,4.08E-04,0.008237431,0.598588184,NA,NA,NA,0.35504488,0.05111356,0.067819453,0.040379467,0.062158153,18,18,1109070
annualnoflowdays,0.06116643,0.403187757,0,0.166101324,0.014264302,0.475100677,0.02984261,0.014264302,3.16E-06,0.345797111,2.578947368,8.789473684,0,0,19,19,1174500
zeroflowfirst,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345797111,157.5,129.75,157.5,125.5,2,2,1174500
peak2z_length,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345797111,70.5,45,70.5,46,2,2,1174500
p_mm_cy,0.089615932,0.435709913,2.5,1.737389211,0.014471015,0.47189531,NA,NA,NA,0.452258272,1188.947368,1220.947368,1160,1244,19,19,1174500
p_mm_amj,-0.044096728,0.70601252,-0.608695652,-0.309661889,0.001661692,0.808011611,NA,NA,NA,0.748075985,312.4210526,319.5789474,286,337,19,19,1174500
p_mm_jas,0.098150782,0.392462639,1.083333333,1.158004158,0.021239122,0.382639092,NA,NA,NA,0.501821706,305.8421053,328.4210526,297,300,19,19,1174500
p_mm_ond,0.076813656,0.505111386,0.875,0.627202101,0.005923133,0.646048199,NA,NA,NA,0.953430747,304.5263158,308.4210526,299,335,19,19,1174500
p_mm_jfm,0.018492176,0.880065087,0.21875,0.261844841,0.001610497,0.810937733,NA,NA,NA,0.693453894,266.1578947,264.5263158,271,254,19,19,1174500
pet_mm_cy,0.250355619,0.027788651,1.346153846,1.3898676,0.133624037,0.024017739,NA,NA,NA,0.028544126,932.2105263,958.5263158,930,969,19,19,1174500
pet_mm_amj,0.217638691,0.05579373,0.636363636,0.482875588,0.068768515,0.111718301,NA,NA,NA,0.084776094,340.2105263,348.7894737,340,353,19,19,1174500
pet_mm_jas,0.308677098,0.006579839,0.925925926,0.912353649,0.209642683,0.003845806,NA,NA,NA,0.011517587,345.3684211,363.7894737,343,366,19,19,1174500
pet_mm_ond,0.024182077,0.840139922,0,-0.040157566,0.002430612,0.768803926,NA,NA,NA,0.906832007,124.4210526,123.9473684,124,123,19,19,1174500
pet_mm_jfm,0.009957326,0.939808118,0,0.03479593,7.26E-04,0.872384985,NA,NA,NA,1,122.2105263,122,125,123,19,19,1174500
T_max_c_cy,0.192034139,0.092058968,0.021476533,0.022808361,0.101261349,0.0515308,NA,NA,NA,0.201433384,13.73914964,14.15127058,13.62377049,14.00246575,19,19,1174500
T_max_c_amj,0.169274538,0.137945662,0.018168498,0.016786048,0.048662594,0.183227509,NA,NA,NA,0.115680525,19.10474263,19.42741469,18.83956044,19.46043956,19,19,1174500
T_max_c_jas,0.240398293,0.034679588,0.032336958,0.031843461,0.130628873,0.025778988,NA,NA,NA,0.03713018,24.60028604,25.27339817,24.50434783,25.15652174,19,19,1174500
T_max_c_ond,0.217638691,0.056013638,0.037160326,0.035033683,0.083083528,0.079267861,NA,NA,NA,0.108953852,8.369965675,9.029977117,7.885869565,8.929347826,19,19,1174500
T_max_c_jfm,0.06116643,0.597485454,0.014438049,0.007172287,0.002422041,0.769200837,NA,NA,NA,0.953994927,2.727179487,2.714010025,2.748351648,2.6,19,19,1174500
T_min_c_cy,0.394025605,5.21E-04,0.044726027,0.042338535,0.302991502,3.43E-04,NA,NA,NA,0.005629317,1.587301327,2.344211432,1.541369863,2.646174863,19,19,1174500
T_min_c_amj,0.402560455,3.92E-04,0.02967033,0.033265957,0.284764765,5.60E-04,NA,NA,NA,4.79E-04,5.865644882,6.578195489,5.942857143,6.402197802,19,19,1174500
T_min_c_jas,0.496443812,1.21E-05,0.048913044,0.049404606,0.480720404,1.40E-06,NA,NA,NA,2.59E-05,11.59364989,12.62339817,11.48804348,12.6,19,19,1174500
T_min_c_ond,0.342816501,0.002550733,0.052664797,0.059562577,0.271519952,7.96E-04,NA,NA,NA,0.010851514,-2.718077803,-1.62889016,-3.058695652,-1.739130435,19,19,1174500
T_min_c_jfm,0.132290185,0.247429593,0.035722223,0.026680968,0.021347953,0.381409483,NA,NA,NA,0.603225988,-8.541368807,-8.354049225,-8.788888889,-7.987912088,19,19,1174500
pcumdist10days,0.165007112,0.147846448,0.304347826,0.311740891,0.05100961,0.172745112,0.007769066,0.05100961,8.94E-04,0.273261517,37.57894737,42.78947368,39,43,19,19,1174500
pcumdist50days,0.032716927,0.782033989,0.086956522,0.229237335,0.011756435,0.517000135,0.001320507,0.011756435,0.23957128,0.640343764,174.5789474,172.6315789,178,164,19,19,1174500
pcumdist90days,0.007112376,0.959859368,0,-0.115548747,0.004821059,0.678711891,-3.58E-04,0.004821059,0.663666705,0.965049081,324.4210526,320.8421053,325,327,19,19,1174500
swe_mm_cy,0.076576577,0.513039705,0.483333333,0.546704599,0.013740867,0.489600036,NA,NA,NA,0.077942474,93.11111111,123.6315789,89,112,18,18,1174500
swe_mm_amj,0.087301587,0.456550792,0.055555556,0.617889318,0.019432302,0.417451177,NA,NA,NA,0.521652915,30.23529412,45.10526316,5,34,17,17,1174500
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1174500
swe_mm_ond,0.042857143,0.722861511,0.102631579,0.112741313,0.002775825,0.76023493,NA,NA,NA,0.516170258,30.44444444,35.77777778,27,35,18,18,1174500
swe_mm_jfm,0.092063492,0.437348055,0.599673203,0.611068211,0.014488938,0.484376679,NA,NA,NA,0.136909963,87.11111111,113.8888889,79,103.5,18,18,1174500
srad_wm2_cy,0.46230441,4.64E-05,0.299695583,0.297922302,0.460521752,2.83E-06,NA,NA,NA,3.24E-04,166.081442,171.8413264,166.4508197,172.6136986,19,19,1174500
srad_wm2_amj,0.317211949,0.00525515,0.539835162,0.477370862,0.205779796,0.004230749,NA,NA,NA,0.039985043,227.8820127,236.1821862,228.4395604,238.7362637,19,19,1174500
srad_wm2_jas,0.503556188,9.07E-06,0.62173913,0.586870888,0.494078396,8.64E-07,NA,NA,NA,7.17E-05,219.4645309,231.5160183,218.9456522,233.0869565,19,19,1174500
srad_wm2_ond,0.083926031,0.465897388,0.04710145,0.038733902,0.011969797,0.513198591,NA,NA,NA,0.623543823,98.34553776,98.93421053,97.98913043,99.31521739,19,19,1174500
srad_wm2_jfm,0.140825036,0.217931652,0.099335233,0.08686596,0.050249347,0.17606578,NA,NA,NA,0.154176051,118.3795579,120.4603046,117.6444444,120,19,19,1174500
p.pet_cy,0.038406828,0.743766572,0.001166867,2.46E-04,1.97E-04,0.933355103,NA,NA,NA,0.603225988,1.276726865,1.282471724,1.262241567,1.344864865,19,19,1174500
swe.p_cy,0.057057057,0.628443637,5.43E-04,5.12E-04,0.014100994,0.483924337,NA,NA,NA,0.141943492,0.078660418,0.105132143,0.076835517,0.090390879,18,18,1174500
p.pet_jfm,0.029871977,0.801475418,0.002332723,0.001955957,9.70E-04,0.852728299,NA,NA,NA,0.953994927,2.214584355,2.222580242,2.016260163,1.955555556,19,19,1174500
swe.p_jfm,0.079365079,0.50450146,0.002031936,0.002354786,0.013976157,0.492268242,NA,NA,NA,0.110795547,0.333344136,0.443675636,0.283480095,0.382994538,18,18,1174500
p.pet_amj,-0.081081081,0.481416167,-0.003385049,-0.002216719,0.007554529,0.603846739,NA,NA,NA,0.885313346,0.927099268,0.930083809,0.770889488,0.935672515,19,19,1174500
swe.p_amj,0.1,0.39284933,3.14E-04,0.002717478,0.029458418,0.31686731,NA,NA,NA,0.619572454,0.098093777,0.150557945,0.012195122,0.084134615,17,17,1174500
p.pet_jas,0.032716927,0.782101161,0.001214336,0.001274731,0.002779367,0.753256331,NA,NA,NA,0.885313346,0.88952049,0.914733248,0.871720117,0.824175824,19,19,1174500
swe.p_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1174500
p.pet_ond,0.096728307,0.399572938,0.010815891,0.005433308,0.005821596,0.6488978,NA,NA,NA,0.748089302,2.479782562,2.506841667,2.430894309,2.544776119,19,19,1174500
swe.p_ond,0.076190476,0.522054268,7.61E-04,6.48E-04,0.009889142,0.56391172,NA,NA,NA,0.338850495,0.096248591,0.119311935,0.088744589,0.108634707,18,18,1174500
annualnoflowdays,-0.577524893,3.08E-07,-7.761904762,-8.446438341,0.639196185,1.75E-09,-0.094703871,0.639196185,0,1.29E-04,180,33.78947368,163,8,19,19,1311500
zeroflowfirst,0.485057471,1.70E-04,4.291666667,4.099291321,0.441455514,6.22E-05,0.048836012,0.441455514,5.99E-152,0.005791585,53.83333333,120.9166667,24.5,115.5,18,18,1311500
peak2z_length,0.296551724,0.022192805,0.0375,0.03259025,0.122264817,0.058212792,NA,NA,NA,0.243830838,3.933241223,4.264298433,3.875,4.366666667,18,18,1311500
p_mm_cy,0.044096728,0.706056827,1.105263158,0.589780063,0.00135719,0.826193913,NA,NA,NA,0.623543823,1157.578947,1165.052632,1098,1207,19,19,1311500
p_mm_amj,-0.027027027,0.82094472,-0.333333333,-0.902286902,0.009470766,0.561071906,NA,NA,NA,0.98835212,316.3684211,306.4736842,273,322,19,19,1311500
p_mm_jas,-0.0056899,0.96991197,-0.057142857,0.507167086,0.004572533,0.686669819,NA,NA,NA,0.953435838,283.8421053,299.5789474,289,266,19,19,1311500
p_mm_ond,0.046941679,0.687415754,0.666666667,0.39172776,0.002039796,0.787739445,NA,NA,NA,0.661408659,278.7368421,289.6842105,265,277,19,19,1311500
p_mm_jfm,0.075391181,0.513146727,0.857142857,0.593172119,0.007616444,0.602362063,NA,NA,NA,0.826643397,278.6315789,269.3157895,263,284,19,19,1311500
pet_mm_cy,0.426742532,1.70E-04,4.0625,3.790239632,0.357110589,7.45E-05,NA,NA,NA,0.001189009,1183.684211,1256.473684,1176,1289,19,19,1311500
pet_mm_amj,0.275960171,0.015188664,1,0.983367983,0.15562994,0.014248235,NA,NA,NA,0.024513763,398.7894737,417.0526316,392,417,19,19,1311500
pet_mm_jas,0.39829303,4.51E-04,1.8125,1.804245541,0.329449454,1.65E-04,NA,NA,NA,0.001534123,429.9473684,464.9473684,427,470,19,19,1311500
pet_mm_ond,0.352773826,0.001878591,0.678571429,0.646460225,0.243783185,0.001631467,NA,NA,NA,0.002493417,183.5789474,196.9473684,179,197,19,19,1311500
pet_mm_jfm,0.150782361,0.186644146,0.5,0.356165882,0.04179418,0.218253709,NA,NA,NA,0.335201212,171.3684211,177.5263158,176,180,19,19,1311500
T_max_c_cy,0.248933144,0.02870521,0.024464739,0.028168924,0.147752417,0.017185764,NA,NA,NA,0.137774772,16.64520052,17.10919593,16.54219178,17.04739726,19,19,1311500
T_max_c_amj,0.20625889,0.070240863,0.024014221,0.023868242,0.07948929,0.08636137,NA,NA,NA,0.053275147,20.90133025,21.35430885,20.67912088,21.3967033,19,19,1311500
T_max_c_jas,0.278805121,0.014217715,0.034502104,0.038266959,0.157940252,0.013484281,NA,NA,NA,0.042443427,26.87076659,27.57969108,26.67173913,27.12934783,19,19,1311500
T_max_c_ond,0.240398293,0.034679588,0.041757247,0.03842895,0.110257913,0.04167834,NA,NA,NA,0.102532871,12.11453089,12.75560641,11.70652174,12.53695652,19,19,1311500
T_max_c_jfm,0.081081081,0.481416167,0.019185185,0.011669088,0.006530262,0.629595709,NA,NA,NA,1,6.545848596,6.592436219,6.67,6.413333333,19,19,1311500
T_min_c_cy,0.382645804,7.54E-04,0.039489368,0.038374056,0.309001969,2.91E-04,NA,NA,NA,0.005629317,7.802743311,8.522345157,7.830410959,8.504657534,19,19,1311500
T_min_c_amj,0.371266003,0.001080446,0.032717283,0.035694265,0.221783593,0.002843681,NA,NA,NA,0.001592442,11.07628687,11.81226142,11.26153846,11.84395604,19,19,1311500
T_min_c_jas,0.388335704,6.27E-04,0.036801242,0.045274671,0.304880039,3.26E-04,NA,NA,NA,5.43E-04,17.77660183,18.69387872,17.91304348,18.51521739,19,19,1311500
T_min_c_ond,0.347083926,0.002248998,0.052672101,0.056083103,0.270526935,8.17E-04,NA,NA,NA,0.008235258,3.851086956,4.905434783,3.744565217,4.713043478,19,19,1311500
T_min_c_jfm,0.095305832,0.406682569,0.021703297,0.015978072,0.013902266,0.480798937,NA,NA,NA,0.729113675,-1.639793072,-1.4766114,-1.605555556,-1.705555556,19,19,1311500
pcumdist10days,0.13371266,0.241271791,0.208333333,0.243243243,0.043323866,0.209837737,0.006642542,0.043323866,0.006641105,0.334512344,34.78947368,38.52631579,34,35,19,19,1311500
pcumdist50days,0.022759602,0.850356892,0.071428571,0.239960608,0.009108327,0.56869978,0.001367358,0.009108327,0.220798564,0.589003807,175.9473684,175.0526316,182,172,19,19,1311500
pcumdist90days,0.021337127,0.860164697,0.032258065,-0.048692417,8.86E-04,0.859193678,-1.49E-04,8.86E-04,0.855743953,0.872348095,328.5263158,327.1052632,330,328,19,19,1311500
swe_mm_cy,-0.028528529,0.813700296,-0.076923077,0.064722617,6.00E-04,0.885601027,NA,NA,NA,0.951504965,38.83333333,37.57894737,29.5,30,18,18,1311500
swe_mm_amj,-0.115873016,0.101085588,0,-0.117374517,0.035398664,0.271819579,NA,NA,NA,0.113931953,3.882352941,0.315789474,0,0,17,17,1311500
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1311500
swe_mm_ond,-0.020634921,0.869226382,0,0.013899614,2.04E-04,0.93412856,NA,NA,NA,0.566588367,8.722222222,11.05555556,5.5,10,18,18,1311500
swe_mm_jfm,0.031746032,0.795594004,0.111111111,0.264478764,0.009319099,0.575423312,NA,NA,NA,0.657581831,37.22222222,39.61111111,26,31.5,18,18,1311500
srad_wm2_cy,0.405405405,3.56E-04,0.335435752,0.319740111,0.36661818,5.63E-05,NA,NA,NA,1.63E-04,189.3850879,196.1848815,188.909589,197.2246575,19,19,1311500
srad_wm2_amj,0.263157895,0.020709971,0.468602829,0.463735302,0.180500767,0.007842707,NA,NA,NA,0.023329804,262.1197224,271.2145749,259.1208791,273.5054945,19,19,1311500
srad_wm2_jas,0.436699858,1.20E-04,0.733981689,0.642915931,0.338867781,1.26E-04,NA,NA,NA,0.001127369,252.7511442,265.3392448,249.7717391,267.4782609,19,19,1311500
srad_wm2_ond,0.042674253,0.715399523,0.025197632,0.023567178,0.002757973,0.754178337,NA,NA,NA,0.501891918,111.271167,112.6046911,111.2934783,112.423913,19,19,1311500
srad_wm2_jfm,0.192034139,0.092058968,0.143790847,0.147056364,0.093035828,0.062589671,NA,NA,NA,0.018246384,131.0579333,135.2363601,130.7333333,135.6222222,19,19,1311500
p.pet_cy,-0.089615932,0.435709913,-0.002370702,-0.002404556,0.022802736,0.365480727,NA,NA,NA,0.563490525,0.982547822,0.933965418,0.927406199,0.970113086,19,19,1311500
swe.p_cy,-0.045045045,0.704474341,-1.33E-04,7.65E-05,9.77E-04,0.85427015,NA,NA,NA,0.845305375,0.034421246,0.032509658,0.025504157,0.024390244,18,18,1311500
p.pet_jfm,0.001422475,1,7.54E-05,0.00130564,7.06E-04,0.874202827,NA,NA,NA,0.603225988,1.651022478,1.575430053,1.547058824,1.574358974,19,19,1311500
swe.p_jfm,0.085714286,0.470351418,7.71E-04,6.59E-04,0.005749421,0.660279465,NA,NA,NA,0.501010594,0.133367275,0.141557242,0.097638306,0.115029664,18,18,1311500
p.pet_amj,-0.078236131,0.497212088,-0.002285775,-0.004366044,0.027562094,0.319175428,NA,NA,NA,0.817463305,0.806545059,0.744488564,0.698209719,0.789361702,19,19,1311500
swe.p_amj,-0.115873016,0.101085588,0,-3.54E-04,0.025034648,0.356705599,NA,NA,NA,0.113931953,0.013110951,7.18E-04,0,0,17,17,1311500
p.pet_jas,-0.095305832,0.406682569,-0.002600855,-0.001278927,0.004459478,0.690372798,NA,NA,NA,0.434976755,0.667815984,0.653963189,0.694581281,0.617886179,19,19,1311500
swe.p_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,1311500
p.pet_ond,-0.015647226,0.899954324,-8.56E-04,-0.003383193,0.004665843,0.683653246,NA,NA,NA,0.862580177,1.540051451,1.481567334,1.522988506,1.331730769,19,19,1311500
swe.p_ond,-0.041269841,0.731895581,0,5.47E-05,2.58E-04,0.925990301,NA,NA,NA,0.799118459,0.029950694,0.038382219,0.025819139,0.032947879,18,18,1311500
annualnoflowdays,-0.167852063,0.056427235,0,-1.37192253,0.139092897,0.021103207,-0.139482239,0.139092897,2.84E-99,0.122191824,22.10526316,5.368421053,0,0,19,19,1378500
zeroflowfirst,0.111111111,0.720514787,1.846153846,3.016002845,0.050261973,0.533495385,0.023040289,0.050261973,1.78E-09,NA,146.2857143,126,170,72,7,7,1378500
peak2z_length,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122191824,28.53571429,9.5,12,9.5,7,7,1378500
p_mm_cy,0.079658606,0.489176783,1.625,1.68169384,0.011694119,0.518119588,NA,NA,NA,0.299929925,1204.421053,1246.684211,1161,1237,19,19,1378500
p_mm_amj,-0.019914651,0.870145618,-0.25,-0.885545464,0.011350615,0.524366392,NA,NA,NA,0.953430747,338,326.8947368,318,330,19,19,1378500
p_mm_jas,0.035561878,0.762824799,0.685714286,1.323448955,0.01859011,0.414365249,NA,NA,NA,0.405329162,301.1578947,348.4736842,333,315,19,19,1378500
p_mm_ond,0.001422475,1,0,-0.008972535,1.01E-06,0.995233947,NA,NA,NA,0.918590325,297.2631579,299.2631579,274,281,19,19,1378500
p_mm_jfm,0.132290185,0.247354863,1.454545455,1.252762884,0.02802954,0.315048071,NA,NA,NA,0.907025067,268,272.0526316,250,271,19,19,1378500
pet_mm_cy,0.288762447,0.011087585,2.384615385,2.224641646,0.187512745,0.006616328,NA,NA,NA,0.008231742,1102.210526,1147.736842,1092,1172,19,19,1378500
pet_mm_amj,0.169274538,0.137447406,0.655172414,0.604442499,0.080070512,0.085171211,NA,NA,NA,0.087361443,393.6842105,406.3157895,390,410,19,19,1378500
pet_mm_jas,0.305832148,0.007118729,1.307692308,1.219936536,0.196312425,0.005338365,NA,NA,NA,0.009757667,396.1052632,421,397,426,19,19,1378500
pet_mm_ond,0.229018492,0.043925814,0.310344828,0.290732028,0.08914346,0.068636873,NA,NA,NA,0.030539923,157.0526316,162.7894737,157,164,19,19,1378500
pet_mm_jfm,0.083926031,0.464931474,0.19047619,0.109530583,0.005142836,0.668755754,NA,NA,NA,0.682213915,155.3684211,157.6315789,158,159,19,19,1378500
T_max_c_cy,0.166429587,0.144746587,0.019025874,0.020943509,0.082290045,0.080780281,NA,NA,NA,0.122720976,16.48000772,16.93561581,16.53013699,16.94575342,19,19,1378500
T_max_c_amj,0.092460882,0.421049442,0.012724118,0.015439206,0.036707216,0.249194373,NA,NA,NA,0.085020767,21.62128398,22.05818392,21.43516484,22.1032967,19,19,1378500
T_max_c_jas,0.192034139,0.092058968,0.032573632,0.026612892,0.07148914,0.10462169,NA,NA,NA,0.053275147,26.83289474,27.50234554,26.53695652,27.40326087,19,19,1378500
T_max_c_ond,0.209103841,0.066431921,0.037784679,0.03626027,0.088348006,0.06994445,NA,NA,NA,0.096409296,11.29250572,12.00932494,11.02173913,11.9076087,19,19,1378500
T_max_c_jfm,0.06970128,0.546208418,0.014305556,0.005027781,0.001059301,0.846190192,NA,NA,NA,1,6.027602339,6.019762226,6.095555556,5.833333333,19,19,1378500
T_min_c_cy,0.379800853,8.25E-04,0.035900948,0.03524092,0.295745911,4.17E-04,NA,NA,NA,0.005101866,5.975026062,6.638592236,6.059178082,6.76109589,19,19,1378500
T_min_c_amj,0.33428165,0.003262835,0.028257457,0.029528804,0.204939064,0.004319333,NA,NA,NA,0.006203971,9.952689416,10.56576055,10.03076923,10.6043956,19,19,1378500
