metric,mk_tau,mk_p,sen_slope,lin_slope,lin_r2,lin_p,pois_slope,pois_r2,pois_p,mw_p,mw_meanGroup1,mw_meanGroup2,mw_medianGroup1,mw_medianGroup2,n_yrGroup1,n_yrGroup2,gage_ID
T_max_c_ond,0.118065434,0.302589503,0.012608694,0.013057988,0.030936664,0.290835408,NA,NA,NA,0.795114839,27.12631579,27.17311213,27.00978261,27.10326087,19,19,2256500
T_max_c_jfm,0.135135135,0.237301321,0.027069067,0.020019139,0.027724426,0.317734337,NA,NA,NA,0.310719023,25.14612814,25.40038622,24.95604396,25.49666667,19,19,2256500
T_min_c_cy,0.089615932,0.435709913,0.008435792,0.008667989,0.025398061,0.339214766,NA,NA,NA,0.707515794,16.23396787,16.18243928,16.2909589,16.2109589,19,19,2256500
T_min_c_amj,0.177809388,0.119016217,0.02017982,0.018818035,0.0673767,0.115543573,NA,NA,NA,0.544096062,17.61364951,17.78438404,17.52417582,17.4989011,19,19,2256500
T_min_c_jas,0.385490754,6.88E-04,0.026319876,0.022020771,0.243770702,0.001631987,NA,NA,NA,0.005629317,21.47168192,21.89914188,21.47826087,22.04130435,19,19,2256500
T_min_c_ond,0.035561878,0.762861164,0.008217392,0.007303506,0.003104019,0.739717161,NA,NA,NA,0.750923477,14.73237986,14.52053776,14.425,14.40543478,19,19,2256500
T_min_c_jfm,-0.038406828,0.743766572,-0.008596492,-0.013787195,0.010698807,0.536589915,NA,NA,NA,0.296981412,11.03375233,10.43407622,10.94555556,10.79222222,19,19,2256500
pcumdist10days,-0.137980085,0.227077458,-0.210526316,-0.24575993,0.051169808,0.172054292,-0.004246788,0.051169808,0.029044006,0.640215635,59.47368421,56.31578947,60,61,19,19,2256500
pcumdist50days,-0.156472262,0.169893872,-0.266666667,-0.331874385,0.058761849,0.142550064,-0.00242698,0.058761849,0.055086313,0.048493095,141.8947368,131.6315789,142,134,19,19,2256500
pcumdist90days,-0.371266003,0.001071267,-1.965517241,-1.946602473,0.244751415,0.001591623,-0.00663405,0.244751415,1.67E-14,0.01151305,311.9473684,275.5263158,311,287,19,19,2256500
swe_mm_cy,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2256500
swe_mm_amj,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2256500
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2256500
swe_mm_ond,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2256500
swe_mm_jfm,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2256500
srad_wm2_cy,0.345661451,0.00234699,0.352438356,0.357141962,0.326842651,1.77E-04,NA,NA,NA,1.63E-04,216.01086,224.1501661,214.8273973,225.1748634,19,19,2256500
srad_wm2_amj,0.155049787,0.174538037,0.24175825,0.283785587,0.064661274,0.123412173,NA,NA,NA,0.065438357,269.4864083,276.5182186,271.5604396,276.4945055,19,19,2256500
srad_wm2_jas,0.385490754,6.88E-04,0.563204507,0.574858347,0.349463461,9.31E-05,NA,NA,NA,0.002476044,235.6453089,246.610984,234.5108696,245.3152174,19,19,2256500
srad_wm2_ond,0.155049787,0.174538037,0.175951087,0.14673021,0.04318948,0.210561998,NA,NA,NA,0.034446421,167.4662471,172.5652174,166.173913,171.5217391,19,19,2256500
srad_wm2_jfm,0.345661451,0.00234699,0.429623814,0.424607443,0.281975871,6.03E-04,NA,NA,NA,6.97E-04,191.5396054,201.0461153,191.1333333,200.2,19,19,2256500
p.pet_cy,0.115220484,0.314534699,0.002914428,0.001494127,0.009433883,0.561839234,NA,NA,NA,0.707515794,0.845460363,0.847803495,0.789986996,0.889298893,19,19,2256500
swe.p_cy,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2256500
p.pet_jfm,-0.220483642,0.05285872,-0.006973909,-0.007824053,0.059766199,0.139078684,NA,NA,NA,0.016776766,0.711096112,0.495511479,0.648829431,0.487654321,19,19,2256500
swe.p_jfm,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2256500
p.pet_amj,0.118065434,0.302589503,0.004817779,0.003720099,0.025053615,0.342553762,NA,NA,NA,0.48793053,0.73611801,0.802738276,0.618473896,0.768939394,19,19,2256500
swe.p_amj,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2256500
p.pet_jas,0.268847795,0.018102342,0.00873202,0.008885008,0.156047428,0.014107115,NA,NA,NA,0.046239714,1.205673035,1.391454786,1.251685393,1.354347826,19,19,2256500
swe.p_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2256500
p.pet_ond,-0.06970128,0.546208418,-0.002102133,-0.002933427,0.014415808,0.472747996,NA,NA,NA,0.130083157,0.648731788,0.518330139,0.540716612,0.445512821,19,19,2256500
swe.p_ond,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2256500
annualnoflowdays,0.085714286,0.462144252,0,1.560473604,0.03631156,0.272865623,0.005148573,0.03631156,2.51E-08,0.258729547,276.9375,327.3684211,338.5,349,16,16,2263869
zeroflowfirst,-0.179831933,0.03035931,0,-1.60581777,0.105387445,0.057078838,-0.079692318,0.105387445,1.47E-92,0.014663201,44.75,1.842105263,1,1,16,16,2263869
peak2z_length,-0.39869281,0.023046553,-1,-0.979216798,0.237546912,0.040208657,NA,NA,NA,0.083139083,35.66666667,15.47619048,28,12.25,8,8,2263869
p_mm_cy,0.083926031,0.465897388,3.038461538,1.873727979,0.007797124,0.598072536,NA,NA,NA,0.707515794,1305.368421,1326.105263,1268,1305,19,19,2263869
p_mm_amj,0.149359886,0.190980242,2.727272727,2.237553343,0.044249159,0.204927478,NA,NA,NA,0.267205144,332.1052632,381.5263158,332,352,19,19,2263869
p_mm_jas,0.233285917,0.040382534,2.55,3.253091148,0.12116869,0.032226422,NA,NA,NA,0.10199377,510.9473684,578.9473684,527,540,19,19,2263869
p_mm_ond,-0.159317212,0.162837476,-1.838709677,-1.606193238,0.035830309,0.255035581,NA,NA,NA,0.136483795,205.9473684,165.0526316,182,139,19,19,2263869
p_mm_jfm,-0.159317212,0.162837476,-2.125,-2.010723274,0.041493831,0.219951381,NA,NA,NA,0.074916205,256.3684211,200.5789474,247,200,19,19,2263869
pet_mm_cy,0.408250356,3.23E-04,3.56,3.544042018,0.360857811,6.68E-05,NA,NA,NA,0.001020662,1510.105263,1582.052632,1518,1608,19,19,2263869
pet_mm_amj,0.318634424,0.005044166,1.318181818,1.335922968,0.25272063,0.001297359,NA,NA,NA,0.003340277,483.7894737,511.3157895,481,515,19,19,2263869
pet_mm_jas,0.443812233,9.12E-05,1.117647059,1.145092461,0.379901488,3.79E-05,NA,NA,NA,5.37E-04,440.7368421,462.8947368,436,467,19,19,2263869
pet_mm_ond,0.275960171,0.015060189,0.56,0.620965095,0.201476149,0.004703487,NA,NA,NA,0.004362283,278.0526316,293.0526316,280,293,19,19,2263869
pet_mm_jfm,0.187766714,0.099137507,0.5,0.442061495,0.065741056,0.120217114,NA,NA,NA,0.169594973,307.5263158,314.7894737,307,318,19,19,2263869
T_max_c_cy,0.109530583,0.339342717,0.009251844,0.010840536,0.048810369,0.182547001,NA,NA,NA,0.563490525,28.28706234,28.41105208,28.1715847,28.34767123,19,19,2263869
T_max_c_amj,0.229018492,0.044272168,0.022527472,0.021554165,0.092149743,0.063916697,NA,NA,NA,0.085020767,30.64146906,31.08247542,30.64725275,31.02527473,19,19,2263869
T_max_c_jas,0.022759602,0.850411446,0.001559546,-3.47E-04,6.17E-05,0.96267667,NA,NA,NA,0.826671404,32.78546911,32.70320366,32.79891304,32.79891304,19,19,2263869
T_max_c_ond,0.100995733,0.378841252,0.01423913,0.013822628,0.026557047,0.32828659,NA,NA,NA,0.707515794,25.84284897,25.96842105,25.58586957,25.82173913,19,19,2263869
T_max_c_jfm,0.112375533,0.326785805,0.016397306,0.008415014,0.004993323,0.673335086,NA,NA,NA,0.50630654,23.81846218,23.83211297,23.40549451,23.98333333,19,19,2263869
T_min_c_cy,0.155049787,0.174538037,0.012945205,0.018974509,0.099844077,0.053284321,NA,NA,NA,0.885313346,16.67358824,16.78001083,16.74438356,16.80164384,19,19,2263869
T_min_c_amj,0.311522048,0.006131308,0.030958697,0.033192729,0.179719447,0.007992315,NA,NA,NA,0.074720114,18.50503181,18.94407172,18.27692308,18.79230769,19,19,2263869
T_min_c_jas,0.394025605,5.21E-04,0.028759058,0.027381813,0.308893695,2.92E-04,NA,NA,NA,0.005101866,22.40955378,22.88592677,22.39565217,22.89565217,19,19,2263869
T_min_c_ond,0.083926031,0.465826886,0.015165631,0.013802885,0.010785334,0.534938274,NA,NA,NA,0.965066288,14.59342105,14.47334096,14.2,14.51956522,19,19,2263869
T_min_c_jfm,0.009957326,0.939871454,0.00375,0.001354124,1.19E-04,0.948257042,NA,NA,NA,0.452258272,11.09966583,10.72559347,10.98222222,11.14111111,19,19,2263869
pcumdist10days,-0.13655761,0.23159717,-0.3125,-0.280227596,0.043972597,0.206381241,-0.004823275,0.043972597,0.012998672,0.342125773,60.63157895,55.63157895,62,53,19,19,2263869
pcumdist50days,-0.159317212,0.162460626,-0.352941176,-0.339424445,0.04230746,0.215387282,-0.002386219,0.04230746,0.054412136,0.082153694,147.6315789,136.8947368,146,138,19,19,2263869
pcumdist90days,-0.246088193,0.030502148,-1.2,-1.365576102,0.165181557,0.011340287,-0.004444913,0.165181557,1.41E-07,0.09308556,319.7894737,294.9473684,317,303,19,19,2263869
swe_mm_cy,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2263869
swe_mm_amj,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2263869
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2263869
swe_mm_ond,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2263869
swe_mm_jfm,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2263869
srad_wm2_cy,0.439544808,1.08E-04,0.457927582,0.439151816,0.399210271,2.10E-05,NA,NA,NA,7.86E-05,211.5144484,220.6796155,210.7513661,221.1616438,19,19,2263869
srad_wm2_amj,0.266002845,0.01936784,0.44065934,0.487703346,0.151294094,0.015798098,NA,NA,NA,0.015409464,267.9572007,278.0474263,271.5384615,281.8351648,19,19,2263869
srad_wm2_jas,0.452347084,6.73E-05,0.677693765,0.648278758,0.413159041,1.35E-05,NA,NA,NA,3.68E-04,234.944508,247.4668192,233.9673913,248.1413043,19,19,2263869
srad_wm2_ond,0.217638691,0.056013638,0.2636876,0.236540008,0.107708963,0.044259729,NA,NA,NA,0.025270444,160.4422197,166.5394737,160.8695652,166.9673913,19,19,2263869
srad_wm2_jfm,0.32859175,0.003833611,0.381481478,0.384462408,0.266284073,9.13E-04,NA,NA,NA,0.004618308,182.7570786,190.7232633,183.5222222,189.967033,19,19,2263869
p.pet_cy,0.001422475,1,2.32E-05,-6.95E-04,0.001911544,0.794372468,NA,NA,NA,0.795114839,0.868862998,0.842731279,0.844504021,0.847333333,19,19,2263869
swe.p_cy,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2263869
p.pet_jfm,-0.146514936,0.199725405,-0.006909278,-0.007181716,0.041789896,0.218277816,NA,NA,NA,0.102532871,0.846205634,0.656208877,0.809836066,0.64516129,19,19,2263869
swe.p_jfm,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2263869
p.pet_amj,0.07254623,0.529614078,0.002911006,0.002449697,0.010903405,0.532699095,NA,NA,NA,0.665016934,0.697140741,0.754836358,0.688391039,0.683495146,19,19,2263869
swe.p_amj,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2263869
p.pet_jas,0.103840683,0.365371549,0.003401361,0.004070029,0.03375154,0.269549799,NA,NA,NA,0.563490525,1.164135141,1.256340112,1.186252772,1.140127389,19,19,2263869
swe.p_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2263869
p.pet_ond,-0.20056899,0.078396503,-0.007247832,-0.006796253,0.043228124,0.210353439,NA,NA,NA,0.074720114,0.749258861,0.57349631,0.612794613,0.486013986,19,19,2263869
swe.p_ond,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2263869
annualnoflowdays,-0.048048048,0.681889164,0,-1.7625459,0.045725489,0.203791029,-0.022574592,0.045725489,4.03E-40,0.303890821,76.78947368,82.11111111,17,78.5,19,19,2264000
zeroflowfirst,0.014245014,0.931650048,0,1.494433167,0.036032101,0.342962342,0.027905508,0.036032101,2.24E-32,0.27056295,61.66666667,51.93333333,34,6,12,12,2264000
peak2z_length,0.289855072,0.049907659,0.569444444,0.44987829,0.163528825,0.049999596,NA,NA,NA,0.04031711,21.40277778,32.80555556,18.91666667,34.25,12,12,2264000
p_mm_cy,0.06970128,0.546208418,2.5,1.369843528,0.004219481,0.698416789,NA,NA,NA,0.795114839,1308.052632,1320.631579,1287,1273,19,19,2264000
p_mm_amj,0.12802276,0.263145276,2.214285714,1.971112813,0.033528532,0.271165274,NA,NA,NA,0.342681038,333.5263158,378.2631579,337,367,19,19,2264000
p_mm_jas,0.192034139,0.092058968,2.25,3.014443593,0.102480274,0.050069384,NA,NA,NA,0.222961226,511.1052632,575.6842105,525,520,19,19,2264000
p_mm_ond,-0.152204836,0.182586751,-1.807692308,-1.669110406,0.03826743,0.239188505,NA,NA,NA,0.15674617,207.2105263,165.5263158,183,140,19,19,2264000
p_mm_jfm,-0.13940256,0.22262749,-2.038461538,-1.946602473,0.039756389,0.23007709,NA,NA,NA,0.105146997,256.2105263,201.1578947,247,202,19,19,2264000
pet_mm_cy,0.392603129,5.43E-04,3.578947368,3.546668126,0.362012375,6.45E-05,NA,NA,NA,0.001250609,1506,1578.684211,1514,1598,19,19,2264000
pet_mm_amj,0.308677098,0.006591246,1.347826087,1.332202648,0.250899255,0.00135961,NA,NA,NA,0.00440748,483,510.5263158,480,515,19,19,2264000
pet_mm_jas,0.439544808,1.06E-04,1.153846154,1.117846592,0.365524883,5.82E-05,NA,NA,NA,5.08E-04,440.7368421,462.4210526,439,464,19,19,2264000
pet_mm_ond,0.314366999,0.005637491,0.612903226,0.663201663,0.223743252,0.002707615,NA,NA,NA,0.001863833,276,292.1578947,278,290,19,19,2264000
pet_mm_jfm,0.174964438,0.124827081,0.5,0.433417223,0.066588983,0.117769785,NA,NA,NA,0.203871951,306.2631579,313.5789474,306,317,19,19,2264000
T_max_c_cy,0.123755334,0.279615358,0.009564867,0.011008389,0.050597962,0.174534395,NA,NA,NA,0.544096062,28.22876634,28.35483478,28.14644809,28.30027397,19,19,2264000
T_max_c_amj,0.226173542,0.046993259,0.021799822,0.021168305,0.089123904,0.068668717,NA,NA,NA,0.096409296,30.59091961,31.02423366,30.57252747,30.96373626,19,19,2264000
T_max_c_jas,0.015647226,0.899954324,0.001086957,-2.56E-04,3.35E-05,0.97247932,NA,NA,NA,0.817463305,32.74885584,32.66584668,32.73478261,32.75434783,19,19,2264000
T_max_c_ond,0.100995733,0.378841252,0.014246895,0.013905527,0.026827815,0.32579943,NA,NA,NA,0.707515794,25.76699085,25.89342105,25.51956522,25.76304348,19,19,2264000
T_max_c_jfm,0.132290185,0.247429593,0.018814815,0.009308178,0.006125776,0.640447747,NA,NA,NA,0.452258272,23.7481505,23.77787931,23.34615385,23.91,19,19,2264000
T_min_c_cy,0.155049787,0.174538037,0.013574097,0.01964547,0.105181413,0.046978112,NA,NA,NA,0.839957572,16.7157457,16.83989154,16.78958904,16.86393443,19,19,2264000
T_min_c_amj,0.305832148,0.007136907,0.031456044,0.034105975,0.185811432,0.006895542,NA,NA,NA,0.079738762,18.57663389,19.03238866,18.33516484,18.87142857,19,19,2264000
T_min_c_jas,0.394025605,5.21E-04,0.028019323,0.02739442,0.306582666,3.11E-04,NA,NA,NA,0.003770594,22.44645309,22.93278032,22.42608696,22.96413043,19,19,2264000
T_min_c_ond,0.095305832,0.406682569,0.016425121,0.014600827,0.012025951,0.512206023,NA,NA,NA,0.885313346,14.62088101,14.52019451,14.24565217,14.55869565,19,19,2264000
T_min_c_jfm,0.001422475,1,9.26E-05,0.002320743,3.47E-04,0.911669163,NA,NA,NA,0.452258272,11.13247928,10.78333269,11.02111111,11.10111111,19,19,2264000
pcumdist10days,-0.13940256,0.222212856,-0.304347826,-0.239085239,0.031282596,0.288111061,-0.004136997,0.031282596,0.033580281,0.365104433,60,55.63157895,62,53,19,19,2264000
pcumdist50days,-0.13940256,0.221993116,-0.307692308,-0.321041689,0.037188908,0.246053358,-0.002256117,0.037188908,0.068905095,0.101693646,147.5263158,137.1052632,146,136,19,19,2264000
pcumdist90days,-0.204836415,0.072038837,-1,-1.019476967,0.116972175,0.03557772,-0.003304931,0.116972175,8.75E-05,0.128814923,318.4736842,298.6315789,317,303,19,19,2264000
swe_mm_cy,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2264000
swe_mm_amj,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2264000
swe_mm_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2264000
swe_mm_ond,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2264000
swe_mm_jfm,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2264000
srad_wm2_cy,0.440967283,1.02E-04,0.459607456,0.437476581,0.397510294,2.21E-05,NA,NA,NA,1.76E-04,210.8830944,220.01073,210.2185792,220.2410959,19,19,2264000
srad_wm2_amj,0.266002845,0.01936784,0.448351648,0.486823168,0.150832723,0.015972438,NA,NA,NA,0.016776766,267.2550607,277.3036437,270.9450549,280.8901099,19,19,2264000
srad_wm2_jas,0.448079659,7.89E-05,0.663043475,0.643653335,0.413032441,1.36E-05,NA,NA,NA,2.47E-04,234.4353547,246.8804348,233.2934783,247.4130435,19,19,2264000
srad_wm2_ond,0.214793741,0.059323837,0.252173913,0.23636874,0.107279962,0.044709714,NA,NA,NA,0.027345323,159.7008009,165.7808925,160.2717391,166.3804348,19,19,2264000
srad_wm2_jfm,0.32859175,0.003833611,0.382456142,0.38346057,0.265721334,9.26E-04,NA,NA,NA,0.004618308,182.1847503,190.1371056,182.9,189.3296703,19,19,2264000
p.pet_cy,-0.009957326,0.939871454,-2.82E-04,-0.001018582,0.00411019,0.702166756,NA,NA,NA,0.750923477,0.872938899,0.841108452,0.855421687,0.852074967,19,19,2264000
swe.p_cy,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2264000
p.pet_jfm,-0.137980085,0.227469557,-0.006922811,-0.00700082,0.040685385,0.224597291,NA,NA,NA,0.115680525,0.848442054,0.659459133,0.815181518,0.657980456,19,19,2264000
swe.p_jfm,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,18,18,2264000
p.pet_amj,0.058321479,0.615051322,0.002744367,0.001938029,0.006631358,0.626947853,NA,NA,NA,0.750923477,0.701299629,0.749817784,0.68699187,0.712621359,19,19,2264000
swe.p_amj,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2264000
p.pet_jas,0.083926031,0.465897388,0.003062352,0.003629949,0.025999008,0.333490385,NA,NA,NA,0.623543823,1.164911779,1.250880398,1.185840708,1.115720524,19,19,2264000
swe.p_jas,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,17,17,2264000
