mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
1,450,25,mae,standard,0.11845161965287168,5,0.00453855776801623,pre0_mod016_post0,tau_Zero_Flow_Days_sum
1,450,25,rmse,standard,0.15641379004282274,5,0.005945715754798952,pre0_mod016_post0,tau_Zero_Flow_Days_sum
1,450,25,rsq,standard,0.1396074903045254,5,0.05249587857824214,pre0_mod016_post0,tau_Zero_Flow_Days_sum
1,650,3,mae,standard,0.1171404395961819,5,0.004485452071397612,pre0_mod017_post0,tau_Zero_Flow_Days_sum
1,650,3,rmse,standard,0.15628724940403352,5,0.005586875373180405,pre0_mod017_post0,tau_Zero_Flow_Days_sum
1,650,3,rsq,standard,0.12776098478283449,5,0.045875667435922494,pre0_mod017_post0,tau_Zero_Flow_Days_sum
1,650,6,mae,standard,0.11670584698818862,5,0.004540498510667315,pre0_mod018_post0,tau_Zero_Flow_Days_sum
1,650,6,rmse,standard,0.15508972180363845,5,0.0059239923292116305,pre0_mod018_post0,tau_Zero_Flow_Days_sum
1,650,6,rsq,standard,0.1468845924749661,5,0.04887607581155363,pre0_mod018_post0,tau_Zero_Flow_Days_sum
1,650,9,mae,standard,0.1171581530563426,5,0.004593591573823364,pre0_mod019_post0,tau_Zero_Flow_Days_sum
1,650,9,rmse,standard,0.1560834228881757,5,0.005963880042508181,pre0_mod019_post0,tau_Zero_Flow_Days_sum
1,650,9,rsq,standard,0.13759717334818455,5,0.055365109813357453,pre0_mod019_post0,tau_Zero_Flow_Days_sum
1,650,12,mae,standard,0.11757588601043369,5,0.004770090987188156,pre0_mod020_post0,tau_Zero_Flow_Days_sum
1,650,12,rmse,standard,0.15617959532558692,5,0.006227410353955339,pre0_mod020_post0,tau_Zero_Flow_Days_sum
1,650,12,rsq,standard,0.13381171244730009,5,0.048763710335199356,pre0_mod020_post0,tau_Zero_Flow_Days_sum
1,650,15,mae,standard,0.11801991334992594,5,0.004940447449597769,pre0_mod021_post0,tau_Zero_Flow_Days_sum
1,650,15,rmse,standard,0.15645322602539324,5,0.006288750846642332,pre0_mod021_post0,tau_Zero_Flow_Days_sum
1,650,15,rsq,standard,0.13436620079599407,5,0.051210605653582444,pre0_mod021_post0,tau_Zero_Flow_Days_sum
