mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
1,250,3,mae,standard,46.60555583423506,5,0.6796159120939731,pre0_mod001_post0,Zero_Flow_Days_sum,National
1,250,3,rmse,standard,66.39638701565364,5,1.2079600415542255,pre0_mod001_post0,Zero_Flow_Days_sum,National
1,250,3,rsq,standard,0.58691483026815,5,0.01352235967240217,pre0_mod001_post0,Zero_Flow_Days_sum,National
1,250,6,mae,standard,47.179033868345975,5,0.6050012171585858,pre0_mod002_post0,Zero_Flow_Days_sum,National
1,250,6,rmse,standard,66.83404485743364,5,1.130645211793626,pre0_mod002_post0,Zero_Flow_Days_sum,National
1,250,6,rsq,standard,0.5836265152713894,5,0.013320591673279277,pre0_mod002_post0,Zero_Flow_Days_sum,National
1,250,9,mae,standard,47.78822865261953,5,0.6044785466204458,pre0_mod003_post0,Zero_Flow_Days_sum,National
1,250,9,rmse,standard,67.30991096582407,5,1.1099719917252775,pre0_mod003_post0,Zero_Flow_Days_sum,National
1,250,9,rsq,standard,0.5787855668321713,5,0.012420756706639908,pre0_mod003_post0,Zero_Flow_Days_sum,National
1,250,12,mae,standard,48.5816355592348,5,0.6195474368894021,pre0_mod004_post0,Zero_Flow_Days_sum,National
1,250,12,rmse,standard,68.0309221228246,5,1.1712818230387083,pre0_mod004_post0,Zero_Flow_Days_sum,National
1,250,12,rsq,standard,0.5710030423663534,5,0.014001126864100709,pre0_mod004_post0,Zero_Flow_Days_sum,National
1,250,15,mae,standard,49.1189606378142,5,0.6125792113155482,pre0_mod005_post0,Zero_Flow_Days_sum,National
1,250,15,rmse,standard,68.43826636777914,5,1.1522076857594952,pre0_mod005_post0,Zero_Flow_Days_sum,National
1,250,15,rsq,standard,0.5677855122759922,5,0.013232514171271642,pre0_mod005_post0,Zero_Flow_Days_sum,National
1,250,18,mae,standard,49.67116926595803,5,0.5404638246413793,pre0_mod006_post0,Zero_Flow_Days_sum,National
1,250,18,rmse,standard,69.03677236749401,5,1.0153461710658354,pre0_mod006_post0,Zero_Flow_Days_sum,National
1,250,18,rsq,standard,0.5604755964412776,5,0.013014150295967471,pre0_mod006_post0,Zero_Flow_Days_sum,National
1,250,21,mae,standard,50.19021807719933,5,0.6729381172904318,pre0_mod007_post0,Zero_Flow_Days_sum,National
1,250,21,rmse,standard,69.46183364003178,5,1.1890218990934196,pre0_mod007_post0,Zero_Flow_Days_sum,National
1,250,21,rsq,standard,0.5561527267475389,5,0.014781745491098956,pre0_mod007_post0,Zero_Flow_Days_sum,National
1,250,25,mae,standard,50.8033921977532,5,0.5459780280717804,pre0_mod008_post0,Zero_Flow_Days_sum,National
1,250,25,rmse,standard,69.93819439463373,5,1.0769263876059738,pre0_mod008_post0,Zero_Flow_Days_sum,National
1,250,25,rsq,standard,0.552288332017372,5,0.01346381334211934,pre0_mod008_post0,Zero_Flow_Days_sum,National
