metric,region,n,OOBmse,OOBr2
Zero_Flow_Days_sum,National,10,3325.1119688116287,0.635198351002092
Zero_Flow_Days_sum,National,12,3287.0948868583614,0.6393692463935026
Zero_Flow_Days_sum,National,14,3603.1246360018413,0.6083134622269835
Zero_Flow_Days_sum,National,16,3638.499025731952,0.6044680020669944
Zero_Flow_Days_sum,National,18,3597.6235320188957,0.608911473284242
Zero_Flow_Days_sum,National,20,3592.1870544245276,0.6095024589707603
Zero_Flow_Days_sum,National,22,3548.9700532086345,0.614200469528055
Zero_Flow_Days_sum,National,24,3546.5214770208954,0.6144666480331964
Zero_Flow_Days_sum,National,26,3517.6119758901773,0.6176093265554694
Zero_Flow_Days_sum,National,28,3512.1157783618755,0.6182068042444916
Zero_Flow_Days_sum,National,30,3471.107348650388,0.6226647265968597
Zero_Flow_Days_sum,National,32,3470.3200716101205,0.6227503094865242
Zero_Flow_Days_sum,National,34,3465.760405332274,0.6232459792393619
Zero_Flow_Days_sum,National,36,3495.8686332467623,0.619972990169688
Zero_Flow_Days_sum,National,38,3556.4217425295706,0.61339041528749
Zero_Flow_Days_sum,National,40,3565.4237025161137,0.6124118350560237
Zero_Flow_Days_sum,National,42,3577.0829413950905,0.6111443887778838
Zero_Flow_Days_sum,National,44,3554.836418413246,0.6135627518500854
Zero_Flow_Days_sum,National,46,3553.061775247969,0.6137556688061752
Zero_Flow_Days_sum,National,48,3556.9684472573845,0.6133309844035617
Zero_Flow_Days_sum,National,50,3553.263553865751,0.6137337339645641
Zero_Flow_Days_sum,Humid,10,3046.610891297651,0.30218733179056334
Zero_Flow_Days_sum,Humid,12,2610.6699317678135,0.4020376687732842
Zero_Flow_Days_sum,Humid,14,2637.762138518414,0.39583231936869845
Zero_Flow_Days_sum,Humid,16,2524.7969416908604,0.4320887085131139
Zero_Flow_Days_sum,Humid,18,2539.401511084637,0.4288036523055937
Zero_Flow_Days_sum,Humid,20,2548.5493346523413,0.42674600077297187
Zero_Flow_Days_sum,Humid,22,2548.7343866220353,0.4267043763946443
Zero_Flow_Days_sum,Humid,24,2576.337332011233,0.4204955506051442
Zero_Flow_Days_sum,Humid,26,2534.281573037577,0.429955297644126
Zero_Flow_Days_sum,Humid,28,2599.4055582593155,0.4153067348455344
Zero_Flow_Days_sum,Humid,30,2576.3805850113786,0.42048582155851566
Zero_Flow_Days_sum,Humid,32,2513.640696991371,0.43459812114381347
Zero_Flow_Days_sum,Humid,34,2549.644200956233,0.4264997287158486
Zero_Flow_Days_sum,Humid,36,2555.7931201399656,0.425116631098286
Zero_Flow_Days_sum,Humid,38,2552.699785801256,0.42581242546902887
Zero_Flow_Days_sum,Humid,40,2560.660641528104,0.42402176271016667
Zero_Flow_Days_sum,Humid,42,2555.1391021275876,0.42526374162742686
Zero_Flow_Days_sum,Humid,44,2563.8123698508225,0.4233128335790294
Zero_Flow_Days_sum,Humid,46,2554.477194304721,0.42541262683887593
Zero_Flow_Days_sum,Humid,48,2603.0221438670383,0.4144932437606318
Zero_Flow_Days_sum,Humid,50,2598.3180176166065,0.4155513591164002
Zero_Flow_Days_sum,Dry_sub_humid,10,5559.107487474129,0.4930151124041736
Zero_Flow_Days_sum,Dry_sub_humid,12,4536.496908081311,0.5862761459092725
Zero_Flow_Days_sum,Dry_sub_humid,14,4490.778014256232,0.5904456620229903
Zero_Flow_Days_sum,Dry_sub_humid,16,4503.604990795157,0.5892758549499244
