predictor,IncMSE,oobMSE,metric
wind_v.m.s.,0.0034785598828808227,0.024349899417873126,Zero_Flow_Days_sum
spei12_drought_count,0.001354731984041702,0.024349899417873126,Zero_Flow_Days_sum
tmax,0.0010605168169673508,0.024349899417873126,Zero_Flow_Days_sum
lai_min,0.002320302903867701,0.024349899417873126,Zero_Flow_Days_sum
sinuosity,0.0014293095325126535,0.024349899417873126,Zero_Flow_Days_sum
lai_mean,0.0028845890836265123,0.024349899417873126,Zero_Flow_Days_sum
spei6_drought_count,0.003134204141966575,0.024349899417873126,Zero_Flow_Days_sum
spei3_drought_count,0.001358118556862146,0.024349899417873126,Zero_Flow_Days_sum
elev_mean,0.0011986008272854031,0.024349899417873126,Zero_Flow_Days_sum
soil_awc_top,0.002975836779895988,0.024349899417873126,Zero_Flow_Days_sum
srad_lw.w.m2.,0.0016432386671974477,0.024349899417873126,Zero_Flow_Days_sum
res_store_sum,4.947557471057713e-4,0.0838699445805749,mean_dry_down_days
elev_mean,0.00510899938936193,0.0838699445805749,mean_dry_down_days
pet_mam,0.005573742281249563,0.0838699445805749,mean_dry_down_days
org_carb_sub_mean,0.0032571371337745472,0.0838699445805749,mean_dry_down_days
srad_sw.w.m2.,0.002987658644040171,0.036642746312323574,hydro_doy
urban_pct,0.0012245200479854199,0.036642746312323574,hydro_doy
gravel_frac_sub,0.003568712179315878,0.036642746312323574,hydro_doy
soil_conductivity_top,0.0013340195393470122,0.036642746312323574,hydro_doy
lai_mean,0.003987087633525414,0.036642746312323574,hydro_doy
p,0.004996384577481855,0.036642746312323574,hydro_doy
tmax_djf,0.0011221443790906131,0.036642746312323574,hydro_doy
wind_v.m.s.,0.0014004186546541825,0.036642746312323574,hydro_doy
gravel_frac_top,0.004288049591187473,0.036642746312323574,hydro_doy
